customer_id,country,gender,age,tenure,balance,products_number,has_cr_card,is_active,estimated_salary,actual_churn,churn_probability,risk_tier
15640846,Germany,Female,58,3,106458.31,4,Yes,No,128881.87,Yes,0.9984,High
15570002,Germany,Female,55,8,118772.71,4,No,No,135853.62,Yes,0.998,High
15692416,Spain,Female,52,8,143542.36,3,Yes,No,141959.11,Yes,0.9971,High
15703793,Germany,Male,58,2,133745.44,4,Yes,No,28373.86,Yes,0.9969,High
15653776,Germany,Female,57,1,162082.31,4,No,No,27145.73,Yes,0.9969,High
15670374,Germany,Female,49,1,120656.86,4,No,No,166164.3,Yes,0.9962,High
15601594,France,Female,51,6,144237.91,4,Yes,No,157143.61,Yes,0.995,High
15671591,Spain,Male,52,3,96196.24,4,Yes,No,198874.52,Yes,0.9949,High
15666548,Germany,Female,56,2,111920.13,3,Yes,No,197634.11,Yes,0.9945,High
15696989,Germany,Female,52,8,139493.25,3,No,No,150093.32,Yes,0.9942,High
15623210,Germany,Female,55,8,149349.58,3,No,No,137519.92,Yes,0.9938,High
15608338,Spain,Female,55,9,117294.12,4,Yes,No,94187.47,Yes,0.9935,High
15752342,Germany,Female,54,6,133656.91,3,Yes,No,145071.33,Yes,0.9925,High
15806808,Germany,Female,57,8,112281.6,3,Yes,No,140225.14,Yes,0.9922,High
15634551,Germany,Male,46,3,115248.11,4,Yes,No,130752.01,Yes,0.9921,High
15656148,Germany,Female,29,4,115046.74,4,Yes,No,119346.88,Yes,0.9917,High
15592773,Germany,Female,51,0,108449.23,3,No,No,88372.69,Yes,0.9916,High
15597914,Germany,Female,51,2,117306.69,4,Yes,Yes,26912.72,Yes,0.9911,High
15599329,France,Female,49,7,195238.29,4,No,Yes,131083.56,Yes,0.9908,High
15740223,Germany,Male,51,1,107714.74,3,Yes,No,86128.21,Yes,0.9906,High
15710087,Germany,Female,54,3,125889.3,3,Yes,No,96013.5,Yes,0.9903,High
15664270,Germany,Male,45,6,142084.04,4,Yes,No,188305.85,Yes,0.9901,High
15589017,Germany,Male,55,4,111362.76,3,Yes,No,16922.28,Yes,0.9897,High
15694376,Germany,Female,64,3,153469.26,3,No,No,146573.66,Yes,0.9893,High
15616859,Germany,Female,43,2,113641.49,4,Yes,No,115116.35,Yes,0.9892,High
15701602,Germany,Male,52,5,116497.31,3,No,No,53793.1,Yes,0.9889,High
15668889,Germany,Female,43,2,116322.27,4,Yes,No,35640.12,Yes,0.9875,High
15641175,Germany,Male,63,3,120916.52,3,No,No,144727.45,Yes,0.98740000000000006,High
15787189,Germany,Male,60,8,134250.17,3,No,No,153046.16,Yes,0.9872,High
15663650,Germany,Male,52,10,107304.39,3,Yes,No,28806.32,Yes,0.9856,High
15783615,Germany,Male,50,3,129370.91,4,Yes,Yes,47775.34,Yes,0.9854,High
15654562,Spain,Female,45,5,174088.3,4,Yes,No,5669.31,Yes,0.9854,High
15727317,Germany,Female,49,1,102286.6,3,Yes,No,69409.37,Yes,0.9851,High
15815316,France,Male,50,9,76817,4,Yes,No,196371.13,Yes,0.9851,High
15719508,Germany,Male,49,7,121205.15,4,Yes,Yes,168080.53,Yes,0.9849,High
15662291,France,Female,55,8,116973.26,3,Yes,No,122066.5,Yes,0.9834,High
15721426,Germany,Male,65,10,126306.64,3,No,No,7861.68,Yes,0.983,High
15791700,Germany,Male,47,2,118079.47,4,Yes,Yes,143007.49,Yes,0.9828,High
15750778,France,Female,60,2,120731.39,4,Yes,Yes,138160.11,Yes,0.9828,High
15766355,Germany,Male,49,0,108806.96,3,Yes,No,61446.92,Yes,0.9822,High
15689341,France,Female,50,10,0,4,Yes,No,179267.94,Yes,0.9817,High
15606386,Germany,Female,46,3,111512.75,3,Yes,No,159576.75,Yes,0.981,High
15679249,Germany,Female,57,4,163146.46,1,Yes,No,169621.69,Yes,0.9808,High
15668283,France,Male,48,9,118317.27,4,No,No,78702.98,Yes,0.9807,High
